Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2534.000,2203.000,
2007-02-01,,2465.000,2156.000,
2007-03-01,,2477.000,2174.000,
2007-04-01,,2507.000,2189.000,
2007-05-01,,2533.000,2213.000,
2007-06-01,,2556.000,2233.000,
2007-07-01,,2595.000,2266.000,
2007-08-01,,2630.000,2293.000,
2007-09-01,,2646.000,2310.000,
2007-10-01,,2657.000,2323.000,
2007-11-01,,2678.000,2337.000,
2007-12-01,,2685.000,2344.000,
2008-01-01,,2689.000,2345.000,
2008-02-01,,2688.000,2348.000,
2008-03-01,,2693.000,2353.000,
2008-04-01,,2693.000,2354.000,
2008-05-01,,2694.000,2353.000,
2008-06-01,,2694.000,2354.000,
2008-07-01,,2695.000,2357.000,
2008-08-01,,2697.000,2360.000,
2008-09-01,,2684.000,2349.000,
2008-10-01,,2656.000,2326.000,
2008-11-01,,2625.000,2301.000,
2008-12-01,,2588.000,2269.000,
2009-01-01,,2553.000,2239.000,
2009-02-01,,2518.000,2210.000,
2009-03-01,,2491.000,2187.000,
2009-04-01,,2465.000,2165.000,
2009-05-01,,2447.000,2151.000,
2009-06-01,,2438.000,2142.000,
2009-07-01,,2438.000,2143.000,
2009-08-01,,2434.000,2139.000,
2009-09-01,,2434.000,2139.000,
2009-10-01,,2427.000,2134.000,
2009-11-01,,2415.000,2124.000,
2009-12-01,,2408.000,2118.000,
2010-01-01,1845.000,2413.000,2122.000,
2010-02-01,1836.000,2418.000,2126.000,
2010-03-01,1845.000,2422.000,2128.000,
2010-04-01,1854.000,2430.000,2135.000,
2010-05-01,1869.000,2442.000,2145.000,
2010-06-01,1887.000,2457.000,2159.000,
2010-07-01,1892.000,2474.000,2173.000,
2010-08-01,1902.000,2488.000,2186.000,
2010-09-01,1907.000,2505.000,2199.000,
2010-10-01,1923.000,2515.000,2210.000,
2010-11-01,1913.000,2522.000,2214.000,
2010-12-01,1934.000,2529.000,2221.000,
2011-01-01,1937.000,2541.000,2232.000,
2011-02-01,1942.000,2553.000,2241.000,
2011-03-01,1941.000,2567.000,2252.000,
2011-04-01,1962.000,2584.000,2268.000,
2011-05-01,1979.000,2598.000,2281.000,
2011-06-01,1992.000,2615.000,2296.000,
2011-07-01,2006.000,2635.000,2313.000,
2011-08-01,2022.000,2651.000,2327.000,
2011-09-01,2033.000,2665.000,2339.000,
2011-10-01,2045.000,2679.000,2351.000,
2011-11-01,2052.000,2683.000,2356.000,
2011-12-01,2052.000,2687.000,2359.000,
2012-01-01,2055.000,2695.000,2365.000,1748.000
2012-02-01,2067.000,2703.000,2373.000,1786.000
2012-03-01,2071.000,2717.000,2384.000,1797.000
2012-04-01,2091.000,2730.000,2396.000,1786.000
2012-05-01,2102.000,2747.000,2411.000,1806.000
2012-06-01,2116.000,2759.000,2422.000,1799.000
2012-07-01,2131.000,2775.000,2437.000,1808.000
2012-08-01,2146.000,2789.000,2449.000,1796.000
2012-09-01,2155.000,2798.000,2457.000,1809.000
2012-10-01,2168.000,2804.000,2463.000,1808.000
2012-11-01,2186.000,2809.000,2469.000,1819.000
2012-12-01,2196.000,2810.000,2471.000,1820.000
2013-01-01,2200.000,2812.000,2474.000,1822.000
2013-02-01,2205.000,2822.000,2482.000,1817.000
2013-03-01,2210.000,2830.000,2488.000,1819.000
2013-04-01,2223.000,2838.000,2497.000,1826.000
2013-05-01,2241.000,2854.000,2512.000,1841.000
2013-06-01,2257.000,2867.000,2523.000,1848.000
2013-07-01,2276.000,2878.000,2535.000,1866.000
2013-08-01,2289.000,2889.000,2545.000,1876.000
2013-09-01,2298.000,2899.000,2554.000,1886.000
2013-10-01,2307.000,2903.000,2558.000,1886.000
2013-11-01,2308.000,2903.000,2557.000,1882.000
2013-12-01,2307.000,2897.000,2552.000,1877.000
2014-01-01,2309.000,2900.000,2555.000,1881.000
2014-02-01,2314.000,2903.000,2559.000,1885.000
2014-03-01,2316.000,2911.000,2564.000,1887.000
2014-04-01,2329.000,2926.000,2577.000,1898.000
2014-05-01,2345.000,2945.000,2593.000,1904.000
2014-06-01,2359.000,2959.000,2605.000,1912.000
2014-07-01,2371.000,2972.000,2618.000,1928.000
2014-08-01,2388.000,2986.000,2632.000,1940.000
2014-09-01,2394.000,2992.000,2639.000,1953.000
